Date,Contract,Open,High,Low,Close,Volume,OpenInterest
2007-12-24,EP2009H,1537.00,1537.00,1537.00,1537.00,0,0
2007-12-26,EP2009H,1540.00,1540.00,1540.00,1540.00,0,0
2007-12-27,EP2009H,1519.50,1519.50,1519.50,1519.50,0,0
2007-12-28,EP2009H,1514.50,1514.50,1514.50,1514.50,0,0
2007-12-31,EP2009H,1505.75,1505.75,1505.75,1505.75,0,0
2008-01-02,EP2009H,1484.50,1484.50,1484.50,1484.50,0,0
2008-01-03,EP2009H,1483.75,1483.75,1483.75,1483.75,0,0
2008-01-04,EP2009H,1445.25,1445.25,1445.25,1445.25,0,0
2008-01-07,EP2009H,1444.00,1444.00,1444.00,1444.00,0,0
2008-01-08,EP2009H,1418.50,1418.50,1418.50,1418.50,0,0
2008-01-09,EP2009H,1434.00,1434.00,1434.00,1434.00,0,0
2008-01-10,EP2009H,1442.50,1442.50,1442.50,1442.50,0,0
2008-01-11,EP2009H,1426.00,1426.00,1426.00,1426.00,0,0
2008-01-14,EP2009H,1438.00,1438.00,1438.00,1438.00,0,0
2008-01-15,EP2009H,1405.50,1405.50,1405.50,1405.50,0,0
2008-01-16,EP2009H,1393.25,1393.25,1393.25,1393.25,0,0
2008-01-17,EP2009H,1354.00,1354.00,1354.00,1354.00,0,0
2008-01-18,EP2009H,1339.25,1339.25,1339.25,1339.25,0,0
2008-01-22,EP2009H,1318.50,1318.50,1318.50,1318.50,0,85
2008-01-23,EP2009H,1351.75,1351.75,1351.75,1351.75,0,0
2008-01-24,EP2009H,1363.25,1363.25,1344.00,1363.25,0,0
2008-01-25,EP2009H,1344.00,1344.00,1344.00,1344.00,0,0
2008-01-28,EP2009H,1365.00,1365.00,1365.00,1365.00,0,0
2008-01-29,EP2009H,1373.00,1373.00,1373.00,1373.00,0,0
2008-01-30,EP2009H,1359.75,1359.75,1359.75,1359.75,0,0
2008-01-31,EP2009H,1388.00,1388.00,1388.00,1388.00,0,0
2008-02-01,EP2009H,1406.50,1406.50,1406.50,1406.50,0,0
2008-02-04,EP2009H,1388.25,1388.25,1388.25,1388.25,0,0
2008-02-05,EP2009H,1350.75,1350.75,1350.75,1350.75,0,0
2008-02-06,EP2009H,1337.00,1337.00,1337.00,1337.00,0,0
2008-02-07,EP2009H,1347.50,1347.50,1347.50,1347.50,0,0
2008-02-08,EP2009H,1336.75,1336.75,1336.75,1336.75,0,0
2008-02-11,EP2009H,1344.75,1344.75,1344.75,1344.75,0,0
2008-02-12,EP2009H,1356.00,1356.00,1337.75,1356.00,0,0
2008-02-13,EP2009H,1370.25,1370.25,1370.25,1370.25,0,0
2008-02-14,EP2009H,1358.00,1358.00,1358.00,1358.00,0,0
2008-02-15,EP2009H,1358.00,1358.00,1358.00,1358.00,0,0
2008-02-19,EP2009H,1362.50,1362.50,1362.50,1362.50,0,0
2008-02-20,EP2009H,1366.75,1366.75,1366.75,1366.75,0,0
2008-02-21,EP2009H,1354.50,1354.50,1354.50,1354.50,0,0
2008-02-22,EP2009H,1363.00,1363.00,1363.00,1363.00,0,0
2008-02-25,EP2009H,1379.75,1379.75,1379.75,1379.75,0,0
2008-02-26,EP2009H,1390.25,1390.25,1390.25,1390.25,0,0
2008-02-27,EP2009H,1387.75,1387.75,1387.75,1387.75,0,0
2008-02-28,EP2009H,1373.00,1373.00,1373.00,1373.00,0,0
2008-02-29,EP2009H,1336.00,1336.00,1336.00,1336.00,0,0
2008-03-03,EP2009H,1336.75,1336.75,1336.75,1336.75,0,0
2008-03-04,EP2009H,1331.75,1331.75,1331.75,1331.75,0,0
2008-03-05,EP2009H,1341.00,1341.00,1341.00,1341.00,0,0
2008-03-06,EP2009H,1312.25,1312.25,1312.25,1312.25,0,0
2008-03-07,EP2009H,1296.75,1296.75,1296.75,1296.75,0,0
2008-03-10,EP2009H,1278.75,1278.75,1278.75,1278.75,0,0
2008-03-11,EP2009H,1329.00,1329.00,1329.00,1329.00,0,0
2008-03-12,EP2009H,1313.50,1313.50,1313.50,1313.50,0,0
2008-03-13,EP2009H,1317.50,1317.50,1317.50,1317.50,0,0
2008-03-14,EP2009H,1293.50,1293.50,1293.50,1293.50,0,0
2008-03-17,EP2009H,1278.00,1278.00,1278.00,1278.00,0,0
2008-03-18,EP2009H,1334.00,1334.00,1334.00,1334.00,0,0
2008-03-19,EP2009H,1298.50,1298.50,1298.50,1298.50,0,0
2008-03-20,EP2009H,1325.50,1325.50,1325.50,1325.50,0,0
2008-03-24,EP2009H,1353.00,1353.00,1353.00,1353.00,0,0
2008-03-25,EP2009H,1352.50,1352.50,1352.50,1352.50,0,0
2008-03-26,EP2009H,1336.25,1336.25,1336.25,1336.25,0,0
2008-03-27,EP2009H,1330.25,1330.25,1330.25,1330.25,0,0
2008-03-28,EP2009H,1319.50,1330.50,1319.50,1319.50,0,0
2008-03-31,EP2009H,1324.75,1324.75,1324.75,1324.75,0,0
2008-04-01,EP2009H,1372.25,1372.25,1372.25,1372.25,0,0
2008-04-02,EP2009H,1373.25,1373.25,1373.25,1373.25,0,0
2008-04-03,EP2009H,1375.50,1375.50,1367.25,1375.50,0,0
2008-04-04,EP2009H,1375.50,1385.00,1373.50,1373.50,2,1
2008-04-07,EP2009H,1374.00,1374.00,1374.00,1374.00,0,1
2008-04-08,EP2009H,1373.25,1373.25,1373.25,1373.25,0,1
2008-04-09,EP2009H,1362.25,1362.25,1362.25,1362.25,0,1
2008-04-10,EP2009H,1365.00,1365.00,1365.00,1365.00,0,1
2008-04-11,EP2009H,1337.00,1337.00,1337.00,1337.00,0,1
2008-04-14,EP2009H,1333.00,1333.00,1333.00,1333.00,0,1
2008-04-15,EP2009H,1338.50,1338.50,1338.50,1338.50,0,1
2008-04-16,EP2009H,1375.25,1375.25,1375.25,1375.25,0,1
2008-04-17,EP2009H,1378.50,1378.50,1378.50,1378.50,0,1
2008-04-18,EP2009H,1390.00,1394.50,1390.00,1394.50,2,3
2008-04-21,EP2009H,1395.00,1395.00,1395.00,1395.00,0,3
2008-04-22,EP2009H,1386.00,1387.25,1376.00,1387.25,3,4
2008-04-23,EP2009H,1385.00,1385.00,1385.00,1385.00,0,4
2008-04-24,EP2009H,1394.75,1394.75,1394.75,1394.75,0,4
2008-04-25,EP2009H,1406.25,1406.25,1406.25,1406.25,0,4
2008-04-28,EP2009H,1406.50,1406.50,1406.50,1406.50,0,4
2008-04-29,EP2009H,1399.25,1399.25,1399.25,1399.25,0,4
2008-04-30,EP2009H,1393.00,1393.00,1393.00,1393.00,0,4
2008-05-01,EP2009H,1419.00,1419.00,1419.00,1419.00,0,4
2008-05-02,EP2009H,1423.00,1423.00,1423.00,1423.00,0,4
2008-05-05,EP2009H,1415.50,1415.50,1415.50,1415.50,0,4
2008-05-06,EP2009H,1428.00,1428.00,1428.00,1428.00,0,4
2008-05-07,EP2009H,1401.75,1401.75,1401.75,1401.75,0,4
2008-05-08,EP2009H,1398.00,1398.00,1398.00,1398.00,0,4
2008-05-09,EP2009H,1389.00,1395.00,1389.00,1395.00,1,5
2008-05-12,EP2009H,1411.00,1411.00,1411.00,1411.00,0,5
2008-05-13,EP2009H,1411.75,1411.75,1411.75,1411.75,0,5
2008-05-14,EP2009H,1415.50,1415.50,1415.50,1415.50,0,5
2008-05-15,EP2009H,1432.00,1432.00,1432.00,1432.00,0,5
